time,wind,solar,electric,heat,cold
2023/1/3 23:00,146.3179454,0.0,1181.558317,581.4045349,196.2316167
2023/1/4 0:00,437.7737806,0.0,1211.236391,631.2668722,188.7798167
2023/1/4 1:00,141.3090921,0.0,1120.34729,657.8923921,183.0840833
2023/1/4 2:00,801.416532,0.0,1099.943614,667.090299,184.8949167
2023/1/4 3:00,240.9555591,0.0,1062.846021,692.2635178,180.4111167
2023/1/4 4:00,199.4117906,0.0,1062.846021,704.8501273,179.2813333
2023/1/4 5:00,4.64e-09,0.0,1066.555781,706.7865287,190.3989667
2023/1/4 6:00,310.4613632,1.124,977.521559,686.4543135,233.3925667
2023/1/4 7:00,209.8734057,97.788,973.8117998,708.2388298,230.86005
2023/1/4 8:00,450.7967992,289.992,1059.136262,715.0162349,238.4160833
2023/1/4 9:00,4.16e-09,454.096,1129.621688,696.1363207,242.6622667
2023/1/4 10:00,265.8689727,560.876,1190.832715,619.6484635,257.0800333
2023/1/4 11:00,243.1873756,458.592,1146.315604,537.351402,281.2595167
2023/1/4 12:00,4.82e-09,429.368,1157.444882,464.2522473,314.6256667
2023/1/4 13:00,475.4661676,422.624,1129.621688,431.817523,349.4016167
2023/1/4 14:00,248.2825555,146.12,1109.218012,412.9376089,374.3010167
2023/1/4 15:00,200.7001829,113.524,1148.170484,409.5489064,393.1222
2023/1/4 16:00,90.14391799,15.736,1183.413197,411.0012074,389.7028167
2023/1/4 17:00,353.3499149,0.0,1200.107113,428.4288205,367.078
2023/1/4 18:00,398.7047247,0.0,1220.510789,462.3158458,335.75765
2023/1/4 19:00,694.2270708,0.0,1257.608381,483.6162618,317.78005
2023/1/4 20:00,110.2542015,0.0,1207.526632,498.1392726,290.8966833
2023/1/4 21:00,847.4979826,0.0,1150.025364,516.050986,255.089
2023/1/4 22:00,603.0659403,0.0,1138.896086,554.2949146,222.9992667
2023/1/4 23:00,355.6285861,0.0,1179.703437,534.4467998,203.1401667
2023/1/5 0:00,481.8516898,0.0,1166.71928,562.5246208,193.6143
2023/1/5 1:00,695.2288415,0.0,1131.476567,623.0371661,188.044
2023/1/5 2:00,249.9714951,0.0,1111.072892,650.1467863,188.8884667
2023/1/5 3:00,459.8127352,0.0,1068.41066,657.4082918,186.57855
2023/1/5 4:00,195.404708,0.0,1085.104577,689.3589157,183.9524
2023/1/5 5:00,4.63e-09,0.0,1131.476567,708.7229302,189.3637
2023/1/5 6:00,9.17e-09,2.248,1114.782651,701.4614247,191.3017333
2023/1/5 7:00,263.4993424,104.532,1142.605845,688.8748153,195.12745
2023/1/5 8:00,260.9909724,296.736,1227.930308,685.4861128,207.01005
2023/1/5 9:00,266.0294695,449.6,1281.721816,660.3128939,234.5682833
2023/1/5 10:00,414.7330553,563.124,1266.882779,580.9204346,249.6308833
2023/1/5 11:00,273.1683346,518.164,1290.996215,489.9095665,283.4157333
2023/1/5 12:00,264.2117478,599.092,1287.286455,441.4995303,322.1022
2023/1/5 13:00,1.21e-09,446.228,1281.721816,408.0966053,344.5477
2023/1/5 14:00,30.33393201,312.472,1279.866937,402.2874009,375.7505667
2023/1/5 15:00,205.8935858,193.328,1268.737659,395.5099959,403.8697167
2023/1/5 16:00,129.2878441,22.48,1342.932844,397.9304977,425.3029167
2023/1/5 17:00,472.0716912,0.0,1294.705974,411.9694082,410.4019667
2023/1/5 18:00,475.9958127,0.0,1303.980372,440.5313295,350.45985
2023/1/5 19:00,679.2005108,0.0,1313.25477,479.2593585,316.9179167
2023/1/5 20:00,278.0210737,0.0,1216.80103,481.19576,281.07755
2023/1/5 21:00,817.4448626,0.0,1183.413197,478.7752581,274.9101167
2023/1/5 22:00,645.1403082,0.0,1192.687595,508.7894806,248.52495
2023/1/5 23:00,132.2931561,0.0,1181.558317,532.026298,206.2221167
2023/1/6 0:00,606.0712523,0.0,1187.122956,535.4150005,195.2414
2023/1/6 1:00,446.7897166,0.0,1125.911928,589.1501407,190.429
2023/1/6 2:00,662.1704095,0.0,1092.524095,636.1078758,189.39815
2023/1/6 3:00,292.045863,0.0,1083.249697,651.1149871,193.0807667
2023/1/6 4:00,803.4200733,0.0,1099.943614,695.16812,194.85185
2023/1/6 5:00,200.510742,0.0,1070.26554,751.8078624,234.9560667
2023/1/6 6:00,395.6994127,0.0,1016.474031,770.2036762,232.35465
2023/1/6 7:00,15.38748122,96.664,994.2154756,768.7513751,236.6034833
2023/1/6 8:00,147.3197161,286.62,1070.26554,759.0693678,237.8339667
2023/1/6 9:00,229.4385234,451.848,1116.63753,701.9455251,246.7008667
2023/1/6 10:00,8.17e-09,551.884,1168.57416,640.9488795,281.4953667
2023/1/6 11:00,5.71e-09,593.472,1194.542474,536.8673016,343.8790167
2023/1/6 12:00,659.1650975,582.232,1226.075428,461.3476451,386.9309167
2023/1/6 13:00,144.2088166,511.42,1213.091271,449.7292364,422.0752167
2023/1/6 14:00,219.9183751,376.54,1201.961993,442.467731,444.1868167
2023/1/6 15:00,470.8322125,178.716,1192.687595,441.0154299,459.1301667
2023/1/6 16:00,40.79669216,19.108,1231.640067,442.9518314,461.6149833
2023/1/6 17:00,363.0298593,0.0,1231.640067,458.9271433,432.4499667
2023/1/6 18:00,227.6646097,0.0,1279.866937,482.648061,385.2402167
2023/1/6 19:00,164.3498174,0.0,1318.819409,517.0191868,354.8941833
2023/1/6 20:00,292.045863,0.0,1192.687595,534.4467998,343.3905333
2023/1/6 21:00,352.6232741,0.0,1172.283919,569.7861262,300.4994
2023/1/6 22:00,496.8782498,0.0,1148.170484,568.8179255,270.1524833
